"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"284996372464275456","284982885805613057","224726116","","","2012-12-29 12:16:44 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ninabojana Cilj akcije je da se blagdani provedu u miru i da se izbjegnu ne?eljene posljedice. Vi?e: http://t.co/KbznApMG","http://ow.ly/gq6SY"
"284993480982417408","","","","","2012-12-29 12:05:15 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Jeste li ?lan/ica neke udruge? Uklju?ite se u #javnarasprava o Zakonu o udrugama: http://t.co/7UfaRzES Rok je 18.1.","http://ow.ly/gq1u8"
"284977260405088256","","","","","2012-12-29 11:00:48 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","#MUP provodi preventivnu akciju ""Mir i dobro"": Zajedno pove?ajmo sigurnost gra?ana - za veselije i ljep?e blagdane: http://t.co/RAblJAz9","http://ow.ly/gq1sJ"
"284969019960872960","284965688274194433","18883474","","","2012-12-29 10:28:03 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@maljciki Mo?e? uputiti pismo ravnatelju Doma zdravlja sukladno Zakonu o za?titi prava pacijenata (http://t.co/fzEvqco7)","http://ow.ly/1QC3Qb"
"284964782266785793","284956820370497536","25321266","","","2012-12-29 10:11:13 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@nedeljko Zdravstveni odgoj je integriran kroz ve? postoje?e predmete te dodatno ne optere?uje s brojem sati."
"284964528263925760","","","","","2012-12-29 10:10:12 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[VIDEO] #MZOS: U 2013. godini nastavljamo graditi kvalitetnije i uspje?nije #obrazovanje.  http://t.co/gyoEDhkv #365dana","http://ow.ly/gq1oI"
"284949263962746880","284941600524742656","138691441","","","2012-12-29 09:09:33 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@jklicinovic @hajdarovicm @sjena444 Napravljeno je uz pomo? ve? postoje?ih resursi i opreme. Kako ti jo? mo?emo pomo?i?"
"284948141856391168","","","","","2012-12-29 09:05:05 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[YT] Fred Mati? povodom uhi?enja: ""U ime Vlade najo?trije osu?ujem svako ne?asno pona?anje, a osobito koruptivno."" http://t.co/483SCnjQ","http://ow.ly/gq1o2"
"284947450123386880","284942029346189312","85855414","","","2012-12-29 09:02:20 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@zriha Hvala ti na hintu. :)"
"284941439534768129","","475088825","","","2012-12-29 08:38:27 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@belmirc24 Dopusti da sumiramo neke poteze, a vezano uz temu. Broj dr?avnih du?nosnika koji imaju pravo (cont) http://t.co/ZwOV2VDa","http://tl.gd/khd76t"
"284940815153905664","284771120807305216","138691441","","","2012-12-29 08:35:58 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@jklicinovic @hajdarovicm @sjena444 Ne predstavljaju dodatni tro?ak, uglavnom ih radi Odjel za online komunikaciju."
"284744653683695617","","","","","2012-12-28 19:36:30 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[YT] Fred Mati? povodom uhi?enja: ""U ime Vlade najo?trije osu?ujem svako ne?asno pona?anje, a osobito koruptivno."" http://t.co/aZa1n3Y8","http://ow.ly/gpvGu"
"284733458029375489","","","","","2012-12-28 18:52:01 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[ROK] za podno?enje zahtjeva za #legalizacija bespravne gra?evine istje?e u ponedjeljak. Vi?e: mgipu.hr"
"284716463284170752","","56055100","","","2012-12-28 17:44:29 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@malimujo @AntoNio_0708 Isprike, evo to?ne poveznice: http://t.co/P8fPKNTd","http://ow.ly/gplYj"
"284714231755051009","","56055100","","","2012-12-28 17:35:37 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@malimujo  @vecernji_list @antonio_0708  Mati?: ""U ime Vlade najo?trije osu?ujem svako ne?aasno pona?anje"" http://t.co/LjMbLVwP","http://ow.ly/gplcl"
"284712196469043200","","","","","2012-12-28 17:27:31 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[IZJAVA] Ministar Mati? povodom uhi?enja: ""Odlu?an sam da se sve sumnje istra?e do zadnjeg detalja."" http://t.co/loZ4zm8R #politikahr","http://ow.ly/gpkni"
"284691286546608128","","","","","2012-12-28 16:04:26 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[VIDEO] #MZOS: U 2013. godini nastavljamo graditi kvalitetnije i uspje?nije #obrazovanje.  http://t.co/hVHv0cyx #365dana","http://ow.ly/gpcyx"
"284672208217976832","284668480572235778","333992335","","","2012-12-28 14:48:38 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@kgolubic ?im budemo imali vi?e informacija, javimo ti ;)"
"284671631052398592","284668480572235778","333992335","","","2012-12-28 14:46:20 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@kgolubic Iz Ministarstva rada i mirovinskog sustava doznajemo kako su u tijeku konzultacije sa soc. partnerima, sindikatima i poslodavcima."
"284667985120092160","","","","","2012-12-28 14:31:51 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ministarstvo socijalne politike i mladih podsje?a organizatore volontiranja da podnesu podatke o volontiranju za 2012.: http://t.co/ZpC3DzXv","http://ow.ly/gp3E2"
"284666450646536193","284658783651758080","269438215","","","2012-12-28 14:25:45 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@zoranherak Hvala, prenijeli smo u #mzos! :)"
"284657896044785664","","","","","2012-12-28 13:51:45 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[Intervju] Ministar Mati? za @novilisthr: Zastara ne?e sprije?iti da Registar o?istimo od la?nih branitelja http://t.co/6uCMKkkJ #politikahr","http://ow.ly/goZX9"
"284657318203899904","","269438215","","","2012-12-28 13:49:27 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@zoranherak Hvala ti,video je napravila ekipa u #mzos-u. :)"
"284656779047092224","284652628951044096","198458739","","","2012-12-28 13:47:19 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ivancica_s Jesi li pro?itao intervju s ministrom @drMrsic? Mo?e? ga na?i na http://t.co/xHyuObqj","http://ow.ly/goZL9"
"284654479029190657","","56055100","","","2012-12-28 13:38:11 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@malimujo @kucilooro @drMrsic S obzirom na to da je realni me?ugodi?nji BDP u razdoblju od posljednjih izmjena (cont) http://t.co/VvdNPkzm","http://tl.gd/kh3t52"
"284645168127279104","","","","","2012-12-28 13:01:11 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[VIDEO] #MZOS: U 2013. godini nastavljamo graditi kvalitetnije i uspje?nije #obrazovanje. http://t.co/XeZ7Aal2 #365dana","http://ow.ly/goVgE"
"284636095545761793","","442067302","","","2012-12-28 12:25:08 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@kucilooro @vladimirpilepic Dopusti da sumiramo neke poteze, a vezano uz temu. Broj dr?avnih du?nosnika koji (cont) http://t.co/6C9a2OkI","http://tl.gd/kh2pt1"
"284630647266480128","","","","","2012-12-28 12:03:29 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ministar @drMrsic: Sada?nja odricanja zalog su budu?em rastu pla?a u javnom sektoru. Vi?e: http://t.co/Ci2aTz3p #politikahr","http://ow.ly/goSJp"
"284624334864125952","284621059695706112","333992335","","","2012-12-28 11:38:24 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@kgolubic @nedeljko Pobjedniku je dodjeljena prva nagrada u neto iznosu od 20.000,00 kn poru?uju iz HZZO-a, vi?e na: http://t.co/VC4W1pzr","http://www.hzzo.hr"
"284623237420298240","","171023230","","","2012-12-28 11:34:02 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@jimbojonezhr Namjera Vlade nikada nije bila smanjiti pla?e (ukinuti su nelegalni koeficijenti) ve? kroz (cont) http://t.co/PkvKPVAJ","http://tl.gd/kh23p7"
"284622665459838976","284616921981263872","1041913076","","","2012-12-28 11:31:46 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@zeljko_hostic Kontakte Ministarstva mo?e? na?i na: http://t.co/BTMV1GqI Vjerujemo da ?e? dobiti svoj odgovor.","http://ow.ly/goRbO"
"284615755671154688","","","","","2012-12-28 11:04:18 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Jeste li ?lan/ica neke udruge? Uklju?ite se u #javnarasprava o Zakonu o udrugama: http://t.co/w7IK9QCb Rok je 18.1.","http://ow.ly/goPFc"
"284601558971346945","","","","","2012-12-28 10:07:53 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[VIDEO] #MZOS: U 2013. godini nastavljamo graditi kvalitetnije i uspje?nije #obrazovanje. http://t.co/GkdlTNoU #365dana","http://ow.ly/goMW0"
"284590894802432000","","","","","2012-12-28 09:25:31 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Jovanovi?: ""Na? cilj je kvalitetno i uspje?no #obrazovanje. Za to je potrebno novo temelje, ali i vrijeme"" U?ivo: http://t.co/YOobJ5BX #mzos","http://ow.ly/goKVl"
"284586050851045376","","","","","2012-12-28 09:06:16 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[U?IVO] Za koji trenutak u #MZOS-u po?inje konferencija za medije povodom #365Dana. Pratite na: http://t.co/pvjeTYk4 #obrazovanje","http://ow.ly/goK0y"
"284574970468777984","","534630952","","","2012-12-28 08:22:14 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@vladimirpilepic Do kraja listopada 2012. bilo je oko 165 000 novozaposlenih s liste HZZ-a ?to je rast od oko (cont) http://t.co/6LqCEGUP","http://tl.gd/kh06nf"
"284381656599633921","","","","","2012-12-27 19:34:05 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ministar Jakovina potpisat ?e sutra Ugovor o sufinanciranju projekta ?Program pro?i??avanja otpadnih voda #Sisak? Vi?e: http://t.co/JFaY1fN2","http://ow.ly/go6ED"
"284375596807647232","284373411210342400","25321266","","","2012-12-27 19:10:00 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@nedeljko Hvala ti na komentarima. Jesi li pogledao Akcijski plan znanost i dru?tvo? http://t.co/uRZd1Z2N","http://ow.ly/go6jB"
"284372745511391233","284368433301295104","357566288","","","2012-12-27 18:58:40 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@tamarauboji Otvoreni smo za kritike i prijedloge. :)"
"284363054551007232","","","","","2012-12-27 18:20:10 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[Audio] Jovanovi?: ""Nastava zdravstvenog odgoja utemeljena je na znanstvenim ?injenicama i kao takva ?e se provoditi."" http://t.co/9DiKfQvA","http://ow.ly/go208"
"284359689435770880","284354259204571137","56055100","","","2012-12-27 18:06:47 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@malimujo Mentionat ?emo te ukoliko dobijemo takvu informaciju. Mo?e?"
